,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
gratitud,,,7,NOUN
habilidad,,,7,NOUN
pudieron,,3,7,AUX
olvidado,1,12,7,ADJ
exigía,,,7,VERB
lágrimas,3,3,7,NOUN
tomó,8,16,7,VERB
cubierto,,3,7,ADJ
varias,,3,7,DET
negó,,3,7,VERB
silla,4,21,7,NOUN
tropas,,,7,NOUN
chiapas,,,7,PROPN
fijos,5,3,7,ADJ
paredes,2,3,7,NOUN
bueno,1,11,7,ADJ
pena,2,1,7,NOUN PROPN
simple,4,1,7,ADJ
acaso,,3,7,ADV
únicos,,2,7,ADJ
influencia,,1,7,NOUN
habló,8,1,7,VERB
sentimiento,4,1,7,NOUN
apoderarse,,,7,VERB
andaba,,10,7,VERB
lograron,,,7,VERB
principio,4,1,7,ADJ NOUN
misma,10,10,7,DET
antiguas,1,,7,ADJ
llevaban,,7,7,VERB
oscuro,6,11,7,ADJ
parar,,1,7,VERB
riqueza,,1,7,NOUN
cerró,9,15,7,VERB
límites,1,,7,NOUN
corrió,1,15,7,VERB
bastante,1,2,7,ADV
tratando,1,9,7,VERB
movió,2,13,7,VERB
contemplar,,1,7,VERB
minutos,1,23,7,PROPN NOUN
título,1,1,7,NOUN
ceremonias,,,7,NOUN
dan,3,3,7,VERB
postura,1,,7,NOUN
asistir,4,1,7,VERB
haberse,1,,7,AUX
materia,,,7,NOUN
suerte,2,6,7,NOUN
oyó,5,43,7,VERB
red,,2,7,NOUN
desenlace,1,,7,NOUN
auxilio,,,7,NOUN
temprano,,1,7,ADV
nuevos,1,3,7,ADJ
corriendo,8,8,7,VERB
pensaba,6,12,7,VERB
esperando,4,12,7,VERB
armas,,3,7,NOUN
apartar,1,1,7,VERB
palaciosr,,,7,PROPN
imperceptible,,1,7,ADJ
humildad,1,,7,NOUN
irritaba,1,,7,VERB
grupos,,13,7,NOUN
pronto,12,14,7,ADV
atrás,6,4,6,ADV
persona,1,4,6,NOUN
llevando,1,10,6,VERB
sagrado,,1,6,ADJ
gente,5,2,6,NOUN
comprendía,1,,6,VERB
haga,,9,6,VERB
tranquila,3,1,6,ADJ
sienes,,,6,NOUN
comentario,1,3,6,NOUN
fiscales,,,6,ADJ
directamente,4,3,6,ADV
ideas,,2,6,NOUN
cauce,1,1,6,NOUN
jacales,,,6,ADJ
rápidamente,4,,6,ADV
josé,,,6,PROPN
enemigo,,2,6,ADJ
problemas,,1,6,NOUN
piensa,2,1,6,VERB
hilo,,1,6,NOUN
ciertos,,,6,DET
cristo,,4,6,NOUN
cara,2,36,6,NOUN
urgencia,,1,6,NOUN
trabajos,,1,6,NOUN
cuerpos,,9,6,NOUN
pelo,4,2,6,NOUN
