,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
muertos,,6,1,NOUN
buscaban,,6,3,VERB
escondida,1,6,,ADJ
bajaron,,6,2,VERB
cruzando,1,6,1,VERB
cascos,1,6,,NOUN
tendida,3,6,1,ADJ
despertar,1,6,3,VERB
momentos,1,6,4,NOUN
parece,5,6,7,VERB
llega,5,6,5,VERB
iluminado,,6,2,ADJ
silenciosa,1,6,1,ADJ
arriba,1,6,4,ADV
colores,,6,3,NOUN
curiosidad,1,6,6,NOUN
ordenó,,6,3,VERB
compañía,1,6,1,NOUN
rodeada,,6,2,ADJ
agregó,1,6,,VERB
señora,,6,2,NOUN ADJ
llamaba,1,6,2,VERB
pecho,3,6,13,NOUN
movía,2,5,8,VERB
cruze,,5,,VERB
huella,,5,2,NOUN
escondió,,5,,VERB
anunció,1,5,1,VERB
repitiéndose,,5,,VERB
andaban,1,5,3,VERB
rincones,,5,4,NOUN
hará,1,5,2,VERB
hecha,1,5,8,ADJ
meses,5,5,12,NOUN
imposible,4,5,4,ADJ
tono,9,5,15,NOUN
conocer,,5,2,VERB
sentirse,2,5,17,VERB
año,1,5,12,NOUN
importa,4,5,8,VERB
sueño,6,5,5,NOUN
pandoe,,5,,ADJ
dicen,4,5,16,VERB
cerrado,,5,6,ADJ
huían,,5,1,VERB
pabellón,,5,,NOUN
bajaban,2,5,,VERB
apagó,,5,3,VERB
cansado,2,5,2,ADJ
condenado,2,5,1,ADJ
vinieron,2,5,7,VERB
cabezas,1,5,3,NOUN
portales,,5,1,NOUN
llenas,,5,2,ADJ
devolvió,1,5,,VERB
hierba,,5,3,NOUN
hiciera,5,5,6,VERB
pegados,,5,1,ADJ
contestaba,,5,1,VERB
vieran,2,5,,VERB
fijeza,1,5,3,NOUN
entrando,2,5,1,VERB
sala,6,5,8,NOUN
distinto,,5,2,ADJ
andrése,,5,,PROPN
llegan,1,5,5,VERB
diera,6,5,4,VERB
viejas,2,5,4,ADJ
llamaron,,5,2,VERB
espiar,,5,,VERB
apretó,4,5,2,VERB
sorprendido,1,5,,ADJ
entendía,2,5,4,VERB
lugares,5,5,6,NOUN
vacía,,5,5,ADJ
cubría,,5,7,VERB
montúfar,,5,,PROPN
disimular,,5,2,VERB
quitó,1,5,,VERB
perder,2,5,7,VERB
vete,,5,1,PROPN
arrojó,,5,2,VERB
alejaron,1,5,1,VERB
dicha,1,5,,ADJ
oscura,2,5,2,ADJ
vivido,1,5,1,ADJ VERB
florese,,5,,VERB
sorprendió,2,5,2,VERB
despertaba,,5,3,VERB
hombres,4,5,29,NOUN
consejos,,5,6,NOUN
rayos,2,5,1,NOUN
gemelas,,5,,ADJ
helechos,,5,1,NOUN
fuga,1,5,4,NOUN
mirarla,1,5,,VERB
meciéndose,,5,,VERB
reían,1,5,4,VERB
cumplir,2,5,15,VERB
envuelta,1,5,2,ADJ
entra,4,5,,VERB
iguales,2,5,8,ADJ
agradeció,,5,3,VERB
maderas,,5,1,NOUN ADJ
hechos,1,5,1,NOUN ADJ
solas,5,5,7,ADJ
compás,,5,,NOUN
viera,2,5,,VERB
puedo,6,5,3,AUX
reverencia,1,5,9,NOUN
