,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
reventadero,1,,,NOUN
tiré,1,,,VERB
copiaba,1,,,VERB
redondez,1,,,ADJ
respondía,1,1,3,VERB
abandoné,3,,,VERB
espaldas,3,5,7,NOUN
quemó,1,,1,VERB
sostenía,4,1,3,VERB
auras,1,,,NOUN
planeaban,1,,1,VERB
lentas,1,,2,ADJ
dignidad,1,3,9,NOUN
aplastaba,1,,1,VERB
cualquier,13,14,12,DET
algún,4,6,32,DET
grito,8,3,11,NOUN
pájaro,2,2,3,ADJ NOUN
retumbar,1,,,VERB
salí,6,1,1,VERB
gustó,1,1,,VERB
calcé,1,,,VERB
caminé,1,,,VERB
quemaba,1,,,VERB
caminar,7,9,8,VERB
recogí,1,,,VERB
toalla,2,,,NOUN
quedar,2,7,11,VERB
contacto,4,1,4,NOUN
produjo,3,18,4,VERB
sensación,8,2,3,NOUN
mirar,10,23,12,VERB
todas,6,12,4,DET
maneras,2,1,3,NOUN
enojo,1,1,,NOUN
destello,4,,1,NOUN
llevaba,7,29,9,VERB
rato,4,14,1,NOUN
tirada,1,1,,ADJ NOUN
enronquecida,1,,,ADV
rozar,2,,2,VERB
solamente,13,,4,ADV
permanecí,2,,,VERB
escuchaba,6,14,14,VERB
ras,1,,,ADP
recogíamos,1,,,VERB
cosas,22,14,22,NOUN
siquiera,8,3,6,ADV
viniera,2,2,2,VERB
impresionó,2,,1,VERB
cena,2,3,2,NOUN
muchachas,5,6,9,NOUN
reírse,1,3,2,VERB
prisa,1,3,4,ADV
baldío,1,,,ADJ
pisando,2,4,1,VERB
cuidado,1,2,1,ADJ NOUN
piedras,2,14,9,NOUN
retoños,1,,,NOUN
crujientes,1,,,ADJ
subía,6,4,1,VERB
entrecortado,3,,1,ADJ
extenso,1,,1,ADJ
miles,2,2,1,NUM
claro,5,2,3,ADJ
contenta,3,1,1,ADJ
cintilar,1,,,VERB
estrellas,1,6,1,NOUN
correspondía,1,,5,VERB
exactamente,3,,1,ADV
croar,1,,,NOUN
seguí,1,,,VERB
encontrar,9,16,12,VERB
recodo,1,,,PRON
árboles,1,24,5,ADJ NOUN
permitían,1,,4,VERB
penumbra,1,1,1,PROPN NOUN
ajena,3,3,5,ADJ
mirándolo,2,3,,VERB
espesa,2,,3,ADJ
capa,1,,2,NOUN
olorosa,1,,,ADJ
fermento,1,,,NOUN
saludable,1,,1,ADJ
cercano,1,2,,ADJ
embargo,1,10,17,ADJ NOUN
apoyé,1,,,VERB
árbol,4,3,5,NOUN
cauce,1,1,6,NOUN
recorrieron,2,1,,VERB
voluptuosa,1,,1,ADJ
áspero,1,,1,ADJ
ardor,2,,2,NOUN
ranas,1,,,ADJ
nota,1,,1,VERB NOUN
sostenida,1,,3,ADJ
conociendo,1,,1,VERB
caminos,2,8,4,NOUN
sangre,1,3,3,NOUN PROPN
común,4,,2,ADJ
agolpada,1,,,ADJ
margen,1,1,8,NOUN ADJ
pasos,14,34,17,NOUN
risas,1,7,2,NOUN
sobresalté,1,,,ADJ
alejé,1,,,VERB
tropecé,1,,,VERB
siluetas,1,,,NOUN
negras,1,4,,ADJ
apoyaban,1,,,VERB
tapia,1,1,,NOUN PROPN
estremecían,1,,,VERB
débilmente,1,,1,ADV
abrazo,1,1,2,NOUN
pronto,12,14,7,ADV
dejado,3,7,3,ADJ
entrado,4,8,5,ADJ
evitar,2,11,5,VERB
ruido,3,2,3,NOUN
huía,1,8,,VERB
avergonzada,1,3,,ADJ
clara,3,1,3,ADJ
pastosa,1,,,ADJ
mejillas,2,3,4,NOUN
aquella,24,6,8,DET
persiguió,1,,,VERB
sueños,1,3,2,NOUN
extraños,2,,4,ADJ
días,19,78,22,NOUN
parecían,6,17,10,VERB
exteriormente,1,,1,ADV
sentía,34,29,22,VERB
internábamos,1,,,VERB
noche,1,6,1,NOUN
cargado,1,3,,ADJ
diferente,8,5,4,ADJ
conocido,2,1,4,ADJ
vuelvo,2,1,1,VERB PRON
respirarlo,1,,,VERB
fuerzas,3,4,5,NOUN
salir,12,32,20,VERB
ponerme,2,,1,VERB
desnuda,4,2,2,ADJ
ventana,3,3,2,NOUN
punto,2,5,3,NOUN
fijo,3,4,,ADJ
estrella,1,4,1,NOUN
echada,2,3,1,ADJ
igual,1,2,2,ADJ ADV
enfermo,2,1,1,NOUN
abandona,1,,4,VERB
única,8,2,16,ADJ
realidad,12,4,7,NOUN
pesaba,2,2,3,VERB
manera,20,2,14,NOUN
sucedía,1,10,2,VERB
inmóvil,1,13,1,ADJ
ningún,11,20,58,DET
flotara,1,,,VERB
único,14,24,34,ADJ
subsistía,1,,,VERB
peso,4,3,9,NOUN
centraba,1,,,VERB
menos,22,20,60,ADV
tampoco,11,10,24,ADV
puede,19,11,50,AUX
describirse,1,,,VERB
medirse,1,,,VERB
profundidad,2,1,1,NOUN
recuerdo,4,1,2,VERB NOUN
cerraron,1,4,,VERB
zaguán,3,5,4,NOUN
llave,1,,6,VERB NOUN
cuchicheando,1,,1,VERB
dirigieron,1,,5,VERB
claros,3,1,,ADJ
entonces,33,17,65,ADV
trampa,1,1,2,NOUN VERB
dulce,7,3,,ADJ
extraña,3,8,3,ADJ
levísimo,1,,,ADJ
aquello,11,,,PRON
sido,25,22,15,AUX
esperando,4,12,7,VERB
roce,3,,4,NOUN
vibración,3,,2,NOUN
nadie,18,15,14,PRON
pronunciado,3,,,ADJ
alguien,7,25,24,PRON
posible,7,6,31,ADJ
pecho,3,6,13,NOUN
agitado,1,,1,ADJ
bajaba,2,7,2,VERB
acortaba,1,,,VERB
orilla,1,,1,VERB NOUN
brazos,16,13,10,NOUN
anhelantes,1,,,ADJ
cerré,3,,,VERB
sabía,27,48,39,VERB
mano,3,29,11,NOUN
perilla,1,,,NOUN
dado,2,3,1,ADJ
di,4,1,1,VERB
simplemente,3,1,4,ADV
oscuridad,3,1,2,NOUN PROPN
imposible,4,5,4,ADJ
hacía,49,40,47,VERB
ciegos,1,,1,NOUN
pretenden,2,,,VERB
mirarse,2,1,,VERB
lentamente,8,,2,ADV
atrajo,1,,4,VERB
envolvió,2,1,,VERB
ansiedad,1,1,,NOUN
primero,1,1,2,ADJ ADV
beso,7,2,,NOUN
abracé,2,,,VERB
latir,1,,2,VERB
estremecerse,1,,,VERB
vértigo,3,2,2,NOUN ADJ
tantearon,1,,,VERB
joven,4,6,3,ADJ
fluyendo,1,,1,VERB
igualmente,2,3,,ADV
secreto,1,5,1,PROPN NOUN
ceguera,1,,1,PROPN NOUN
pronuncié,2,,,VERB
nombre,9,34,14,NOUN
seguramente,8,,3,ADV
humillación,3,2,5,NOUN
aceptado,1,1,1,VERB ADJ
horror,5,1,1,NOUN VERB PROPN
hicieron,12,14,26,VERB
rechazarme,1,,,VERB
violencia,2,15,5,NOUN
oír,3,18,12,VERB
golpearme,1,,,VERB
puños,2,1,2,NOUN PROPN
cerrados,1,5,3,ADJ
oía,7,2,5,VERB
siguieron,6,14,2,VERB
rehusó,1,1,,VERB
mirarme,6,,,VERB
abatido,2,,2,ADJ
tener,1,8,25,VERB
anterior,2,3,3,ADJ
partida,1,3,1,NOUN ADJ
hablé,5,,,VERB
primera,16,32,49,ADJ
solas,5,5,7,ADJ
expliqué,1,1,,VERB
mejor,1,1,7,ADV
ignoraba,1,3,5,VERB
absolutamente,1,1,,ADV
sucediera,1,,,VERB
creía,4,5,9,VERB
ignorancia,2,,1,NOUN
hiciera,5,5,6,VERB
mentira,1,1,2,NOUN
realizado,1,,2,ADJ VERB
angustia,1,1,1,NOUN VERB PROPN
siento,6,1,1,VERB
alegro,1,,3,NOUN VERB
culpable,2,4,5,ADJ
alegra,2,,1,VERB
pagues,1,,,VERB
inocencia,1,2,1,ADJ NOUN
hijo,3,2,1,NOUN
mandé,3,,3,VERB
estudiar,2,1,,VERB
méxico,3,10,13,PROPN
membrillo,3,,,NOUN
sentencia,1,1,3,PROPN NOUN
das,1,1,1,ADJ VERB NOUN
dueño,2,4,3,NOUN
bese,1,,,VERB
sexo,1,,,NOUN
elisai,11,,,ADJ
horrorizó,1,,,VERB
laurai,1,,,NOUN
anillo,4,,3,NOUN
esperanza,1,3,2,ADJ NOUN
haberse,1,,7,AUX
luz,25,7,9,NOUN
hoguera,1,3,,NOUN
brilló,3,1,1,VERB
martai,1,,,PROPN
observaban,2,1,,VERB
demás,1,1,1,PRON DET
esperaban,3,18,1,VERB
leve,3,2,13,ADJ
tensión,3,,3,NOUN
tras,9,9,32,ADP
indiferente,2,2,3,ADJ
sentirse,2,5,17,VERB
atrevió,2,3,4,VERB
migueli,1,,,ADJ
novio,2,,1,NOUN
risa,1,5,2,PROPN NOUN
supieran,1,,,VERB
peor,3,2,6,ADV
valentía,1,,,NOUN
torpe,1,,2,ADJ
temblaban,2,1,2,VERB
cerró,9,15,7,VERB
darse,7,7,8,VERB
cuenta,4,3,1,NOUN VERB
soltaron,1,1,,VERB
carcajada,1,1,3,ADJ NOUN
superior,1,3,6,ADJ
tomó,8,16,7,VERB
ternura,1,1,,NOUN
sentó,8,16,4,VERB
silencio,5,3,32,NOUN
juego,7,6,4,NOUN
continuó,7,1,5,VERB
inocente,3,2,6,ADJ
sentir,10,4,7,VERB
vaga,2,,1,ADJ
pequeña,5,3,8,ADJ
hueco,3,1,3,NOUN ADJ
rehuir,1,,,VERB
caminaron,1,1,1,VERB
mala,1,6,11,ADJ
aburridas,1,1,,ADJ
ingenuidad,1,,1,NOUN
piensa,2,1,6,VERB
mayores,2,3,14,ADJ
divierten,1,,,VERB
edad,5,3,1,NOUN
pregunta,1,6,1,VERB
paró,2,,1,VERB
rostro,12,32,15,NOUN
frágil,3,,1,ADJ
abrazó,6,1,1,VERB
apretando,2,,,VERB
protegerla,1,,1,VERB
pensamiento,1,4,5,NOUN
separó,1,6,2,VERB
besó,6,,,VERB
llenó,3,13,2,VERB
miraron,4,50,9,VERB
deslumbrados,1,,1,ADJ
encontrarla,1,1,,VERB
sonrió,10,12,15,VERB
plenitud,2,,1,ADJ
felicidad,5,1,2,NOUN
dueña,1,2,1,ADJ NOUN
inconsciente,2,,3,ADJ
mundo,15,25,1,NOUN ADJ
alrededor,10,12,29,ADV
central,2,,,ADJ
viviendo,3,3,2,VERB
cubriéndolo,1,,,VERB
recubriéndolo,1,,,ADJ
vida,4,6,6,NOUN
tranquila,3,1,6,ADJ
perezosa,1,,,ADJ
pequeño,16,7,11,ADJ
veraneo,1,,,ADJ
roca,1,1,1,NOUN VERB
recogió,2,4,1,VERB
pelota,1,,,NOUN
devolvió,1,5,,VERB
grupo,4,2,4,NOUN
salpicándose,1,,,VERB
tratando,1,9,7,VERB
hundirse,3,1,,VERB
vitalidad,1,,,NOUN
acostó,2,,1,VERB
especie,2,1,2,DET NUM NOUN
suavidad,2,1,4,NOUN PROPN
mimosa,1,,,ADJ
movimientos,1,1,6,ADJ NOUN
pensaba,6,12,7,VERB
abandonada,1,2,4,ADJ
adormilada,2,,,ADJ
sacar,2,2,9,VERB
abrió,7,27,11,VERB
incorporándose,1,1,,VERB
moviendo,2,2,,VERB
acompasadamente,1,,1,ADV
hermoso,8,4,3,ADJ
atándose,1,,,VERB
cuello,6,8,4,NOUN
tirantes,1,,,ADJ
breve,2,,20,ADJ
clase,3,2,4,NOUN
jugando,1,5,1,VERB
desató,1,,2,VERB
nudo,1,,1,NOUN ADJ
digo,1,3,4,VERB
creas,1,1,1,VERB
caballeroso,1,,,ADJ
desentendida,1,,,ADJ
aún,5,1,46,ADV
herida,4,,2,ADJ
vio,9,63,26,VERB
alejarse,1,7,3,VERB
rabia,2,1,1,ADJ
sino,23,21,107,CCONJ
respeto,2,1,1,NOUN VERB
mirado,2,3,1,ADJ
ése,2,2,4,PRON DET
piernas,4,4,2,NOUN
sujetándolas,1,,,ADJ
apoyó,1,2,2,VERB
barbilla,1,1,,NOUN
rodillas,1,2,1,NOUN ADJ
condenado,2,5,1,ADJ
madre,3,1,2,PROPN NOUN
llamó,5,25,1,VERB
levantaron,3,8,3,VERB
pesadamente,1,,1,ADV
acercaron,2,7,3,VERB
pasa,3,10,4,VERB
vístanse,1,,,PROPN
van,1,2,1,VERB
servir,2,3,4,VERB
caminando,7,10,1,VERB
separarse,1,2,1,VERB
sonrieron,1,1,1,VERB
sonrisa,13,5,15,NOUN
casetas,1,,,NOUN
encontró,9,31,11,VERB
acentuada,1,,,ADJ
humildad,1,,7,NOUN
sintió,18,50,22,VERB
piedad,4,6,1,NOUN
